_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantLZS,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:medium,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemtype,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemstatus,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:stalbezetting,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting,, ,,,,,,,,,,,,,,,,,,,,,
conceptscheme:norm-bandbreedte,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem normbandbreedte,Ranges,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter-norm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem parameter specificatie,,,"Het schema van indelingsklassen (1, 2, 3) zoals vastgelegd in de Vlaamse milieuregelgeving (VLAREM).",,,,,,,,,,,,,,,,,,,,
conceptscheme-alg:vlarem-klasse,skos:ConceptScheme,,,VLAREM indelingsklassen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemopstelling,skos:ConceptScheme,,,conceptschema  luchtzuiveringssysteem opstelingen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:dataleverancierstatus,skos:ConceptScheme,,,conceptschema dataleverancier status,,,,,,,,,,,,,,,,,,,,,,,
lzs-param-norm:_3,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Waswaterdebiet S1 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1,lzs-param:waswaterdebiet,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,0,,,true,minimum
lzs-param-norm:_4,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Spuiwaterdebiet S1 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1,lzs-param:spuiwaterproductie,,http://qudt.org/vocab/unit/M3,,,,,,,,0,,,true,minimum
lzs-param-norm:_5,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Drukval S1 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1,lzs-param:drukvaloverhetsysteem,,http://qudt.org/vocab/unit/PA,,,,,,,,0,500,,true,exact
lzs-param-norm:_6,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Zuurtegraad waswater S2 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s2,lzs-param:zuurtegraadwaswater,,http://qudt.org/vocab/unit/PH,,,,,,,,0,14,,true,maximum
lzs-param-norm:_7,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Geleidbaarheid waswater S2 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s2,lzs-param:geleidbaarheidvanhetwaswater,,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,,,,,,,0,500,,true,maximum
lzs-param-norm:_8,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Waswaterdebiet S2 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s2,lzs-param:waswaterdebiet,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,0,,,true,minimum
lzs-param-norm:_9,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Spuiwaterdebiet S2 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s2,lzs-param:spuiwaterproductie,,http://qudt.org/vocab/unit/M3,,,,,,,,0,,,true,minimum
lzs-param-norm:_10,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Drukval S2 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s2,lzs-param:drukvaloverhetsysteem,,http://qudt.org/vocab/unit/PA,,,,,,,,0,500,,true,exact
lzs-param-norm:_11,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Waswaterdebiet voorbevochtiging S3 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,lzs-param:waswaterdebietvoorbevochtiging,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,0,,,true,minimum
lzs-param-norm:_12,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Waswaterdebiet bevloeiing S3 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,lzs-param:waswaterdebietbevloeiing,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,0,,,true,minimum
